Sr_No,Hospital_Name,State,District,Pincode,Ambulance_Phone_No,State_ID,District_ID
1392,"Arunachal State Hospital, Naharlagun",Arunachal Pradesh,Papum Pare,791110,112,12,248
1393,B T M Hospital,Arunachal Pradesh,Papum Pare,791110,112,12,248
1394,Boriatari Memorial Hospital,Arunachal Pradesh,Papum Pare,791110,112,12,248
1395,Tawang District Hospital,Arunachal Pradesh,Tawang,790104,112,12,0
1396,District Hospital,Arunachal Pradesh,Upper Subansiri,791122,112,12,0
1397,Fakhruddin Ali AhmedMedical Collegeand Hospital,Assam,Barpeta,781301,112,18,0
1398,Bhagawani Devi Prasuti Sadan,Assam,Barpeta,781315,112,18,303
1399,Sanjivani Hospital And Rcs Ltd,Assam,Barpeta,781315,112,18,303
1400,R N B Civil Hospital,Assam,Bongaigaon,783360,112,18,319
1401,Chilarai HospitalandResearch Centre,Assam,Bongaigaon,783380,112,18,319
1402,Indian Oil Corporation Limited Assam Oil Division Hospital Digboi Assam,Assam,Bongaigaon,783380,112,18,319
1403,Lower Assam Hospital And Research Centre,Assam,Bongaigaon,783380,112,18,319
1404,S.M. Hospital and Diagnostic Centre,Assam,Bongaigaon,783380,112,18,319
1405,Swagat Hospital And Research Centre,Assam,Bongaigaon,783380,112,18,319
1406,Silchar Medical College and Hospital (SMCH),Assam,Cachar,788014,112,18,0
1407,Arnav Memorial Hospital,Assam,Cachar,788001,112,18,316
1408,Indian Red Cross Society,Assam,Cachar,788001,112,18,316
1409,Kay Cee Clinic and Nursing Home,Assam,Cachar,788001,112,18,316
1410,Lions Eye Hospital,Assam,Cachar,788001,112,18,316
1411,Mawsumi Hospital and Research Center,Assam,Cachar,788001,112,18,316
1412,R . E. Nursing Home and Diagnostic,Assam,Cachar,788001,112,18,316
1413,Siva Sundari Narisikshasram and Ante-Natal Clinic,Assam,Cachar,788001,112,18,316
1414,Mediland Hospital and Research Centre,Assam,Cachar,788002,112,18,316
1415,Greenview Nursing Home,Assam,Cachar,788005,112,18,316
1416,Life Line Hospital,Assam,Cachar,788005,112,18,316
1417,Silchar Medical College and Hospital,Assam,Cachar,788014,112,18,316
1418,Medinova Hospital and Research Centre,Assam,Cachar,788015,112,18,316
1419,South City Hospital,Assam,Cachar,788015,112,18,316
1420,Valley Hospital And Research Centre Pvt Ltd,Assam,Cachar,788015,112,18,316
1421,Mangaldol Poly Clinic,Assam,Darrang,784125,112,18,325
1422,Ghilamora CHC,Assam,Dhemaji,787053,112,18,308
1423,Civil Hospital,Assam,Dhubri,783301,112,18,301
1424,Gauripur Hospital,Assam,Dhubri,783331,112,18,301
1425,Astha Hospital Dibrugarh,Assam,Dibrugarh,786001,112,18,310
1426,Dr Damani's Nursing Home,Assam,Dibrugarh,786001,112,18,310
1427,Drishti Netralaya,Assam,Dibrugarh,786001,112,18,310
1428,Jj Memorial Diagnostics And Hospitals Pvt Ltd,Assam,Dibrugarh,786001,112,18,310
1429,Medicare Diagnostic And Hospital,Assam,Dibrugarh,786001,112,18,310
1430,Srimanta Sankardeva Hospital And Research Institute,Assam,Dibrugarh,786001,112,18,310
1431,Urovision Diagnostics and Reaearch Center Pvt Ltd,Assam,Dibrugarh,786001,112,18,310
1432,Vincenza Gerosa Hospital,Assam,Dibrugarh,786001,112,18,310
1433,Assam Medical College Hospital Dibrugarh (Assam),Assam,Dibrugarh,786002,112,18,310
1434,Aditya Diagnostics and Hospitals,Assam,Dibrugarh,786005,112,18,310
1435,Archana Trauma and Orthopaedics Hospital and Research Centre,Assam,Dibrugarh,786005,112,18,310
1436,Brahmaputra Diagnostic and Hospital Ltd,Assam,Dibrugarh,786005,112,18,310
1437,H.M.Poly Clinic and Diagnostics Centre,Assam,Dibrugarh,786005,112,18,310
1438,Marwari Arogya Bhawan Hospital,Assam,Dibrugarh,786005,112,18,310
1439,Sristi Hospitals And Research Centre Pvt Ltd,Assam,Dibrugarh,786005,112,18,310
1440,Tengakahat PHC,Assam,Dibrugarh,786103,112,18,310
1441,Life Care Nursing Home,Assam,Dibrugarh,786602,112,18,310
1442,Sasoni CHC,Assam,Dibrugarh,786610,112,18,310
1443,Rajgarh CHC,Assam,Dibrugarh,786611,112,18,310
1444,Assam Medical College and Hospital (AMCH),Assam,Dibrugarh,786002,112,18,0
1445,Florence Hospital,Assam,Goalpara,783101,112,18,302
1446,Solace Hospital and Research Centre,Assam,Goalpara,783101,112,18,302
1447,Seven Sisters Medical Service Ltd - Goalpara,Assam,Goalpara,783121,112,18,302
1448,Garmur CHC,Assam,Golaghat,785104,112,18,313
1449,Binapani Nursing Home and Hospital,Assam,Golaghat,785602,112,18,313
1450,Vivekananda Kendra-Nrl Hospital,Assam,Golaghat,785615,112,18,313
1451,Naharani PHC,Assam,Golaghat,785618,112,18,313
1452,G B M Nursing Home,Assam,Golaghat,785621,112,18,313
1453,Hgm Nursing Home,Assam,Golaghat,785621,112,18,313
1454,Life Line Hospital and Research Centre,Assam,Golaghat,785621,112,18,313
1455,CGHS Dispensary No.I,Assam,Kamrup Metro,781006,112,18,0
1456,CGHS Dispensary No.II,Assam,Kamrup Metro,781026,112,18,0
1457,CGHS Dispensary No.III,Assam,Kamrup Metro,781009,112,18,0
1458,Jorhat Medical College And Hospital,Assam,Jorhat,785001,112,18,0
1459,A G Nursing Home,Assam,Jorhat,785001,112,18,312
1460,J D S Civil Hospital,Assam,Jorhat,785001,112,18,312
1461,J R Hospital,Assam,Jorhat,785001,112,18,312
1462,Jorhat Nursing Home,Assam,Jorhat,785001,112,18,312
1463,Jyoti Diagnostics,Assam,Jorhat,785001,112,18,312
1464,K. G Memorial Medical Centre,Assam,Jorhat,785001,112,18,312
1465,Kamalabari Sdch,Assam,Jorhat,785001,112,18,312
1466,Malpani Nursing Home Medicure Center),Assam,Jorhat,785001,112,18,312
1467,Pain and Fracture Clinic and Research Centre,Assam,Jorhat,785001,112,18,312
1468,Prava Eye Hospital,Assam,Jorhat,785001,112,18,312
1469,Sanjivani Hospital,Assam,Jorhat,785001,112,18,312
1470,Titabor Sd Ch,Assam,Jorhat,785001,112,18,312
1471,Institute Of Medical Science and Research Pvt Ltd,Assam,Jorhat,785006,112,18,312
1472,Gauhati Medical College and Hospital (GMCH),Assam,Kamrup,781032,112,18,0
1473,Banajit Choudhury,Assam,Kamrup,781001,112,18,321
1474,Central Clinic and Nursing Home,Assam,Kamrup,781001,112,18,321
1475,Guwahati Netralaya Eye Hospitaland Rclkmeh,Assam,Kamrup,781001,112,18,321
1476,Sri Sankaradeva Nethralaya,Assam,Kamrup,781001,112,18,321
1477,Wintrobe Hospital,Assam,Kamrup,781001,112,18,321
1478,Barthakur Clinic Pvt Ltd,Assam,Kamrup,781004,112,18,321
1479,Aruna Memorial Hospital,Assam,Kamrup,781005,112,18,321
1480,Dispur Hospitals Pvt Ltd,Assam,Kamrup,781005,112,18,321
1481,G N R C Heart Institute,Assam,Kamrup,781005,112,18,321
1482,Gauhati Medical College Hospital,Assam,Kamrup,781005,112,18,321
1483,Guwahati Eye Hospital,Assam,Kamrup,781005,112,18,321
1484,International Hospital,Assam,Kamrup,781005,112,18,321
1485,Midland Hospital,Assam,Kamrup,781005,112,18,321
1486,Nemcare Hospital,Assam,Kamrup,781005,112,18,321
1487,Nightingale Hospital,Assam,Kamrup,781005,112,18,321
1488,Advance Neuro Science Hospital,Assam,Kamrup,781006,112,18,321
1489,Diabetic Care and Research Centre,Assam,Kamrup,781006,112,18,321
1490,Dispur Polyclinic and Nursing Home,Assam,Kamrup,781006,112,18,321
1491,"Down Town Hospital Ltd.,",Assam,Kamrup,781006,112,18,321
1492,Good Health Hospital - Guwahati,Assam,Kamrup,781006,112,18,321
1493,Guwahati Neuro Research Centre Ltd,Assam,Kamrup,781006,112,18,321
1494,Sun Valley Hospital - Guwahati,Assam,Kamrup,781006,112,18,321
1495,City Heart Hospital,Assam,Kamrup,781007,112,18,321
1496,Sacred Home Hospital and Research Clinic,Assam,Kamrup,781007,112,18,321
1497,Arya Hospital (A Unit Of North Eastern Medical Research Institute Ltd),Assam,Kamrup,781008,112,18,321
1498,Gurucharan Polyclinic Cum Nursing Home,Assam,Kamrup,781008,112,18,321
1499,Marwari Hospital and Research Centre,Assam,Kamrup,781008,112,18,321
1500,Satribari Christian Hospital,Assam,Kamrup,781008,112,18,321
1501,Goenka Nursing Home,Assam,Kamrup,781009,112,18,321
1502,Institute Of Human Reproduction,Assam,Kamrup,781009,112,18,321
1503,Kumars Nursing Home,Assam,Kamrup,781009,112,18,321
1504,Swagat Endolaproscopic Surgical Research Institute,Assam,Kamrup,781009,112,18,321
1505,Sanjevani Hospital,Assam,Kamrup,781011,112,18,321
1506,Green Land Nursing Home And Medhi Diagnostic Clinic,Assam,Kamrup,781015,112,18,321
1507,Dr Bhubaneswar Borooah Cancer Institue,Assam,Kamrup,781016,112,18,321
1508,Dr. Kalicharan Das Nursing Home and Polyclinic,Assam,Kamrup,781016,112,18,321
1509,Saraighat Hospital Pvt Ltd.,Assam,Kamrup,781018,112,18,321
1510,Dharanidhar Memorial Institute Of Medical Science And Research (Dims),Assam,Kamrup,781020,112,18,321
1511,East End Nursing Home and Research Institute,Assam,Kamrup,781021,112,18,321
1512,Pragjyothi Eye Care And Research Centre Pvt Ltd,Assam,Kamrup,781021,112,18,321
1513,Agile Hospitals Pvt Ltd,Assam,Kamrup,781022,112,18,321
1514,Gnrc Sixmile Hospital,Assam,Kamrup,781022,112,18,321
1515,North East Cancer Hospital And Research Institute,Assam,Kamrup,781023,112,18,321
1516,Institute Of Child and Woman Health Care(A Unit Of Dr Kuntal Goswami Memorial Trust),Assam,Kamrup,781024,112,18,321
1517,Assam Lithotripsy Centre,Assam,Kamrup,781028,112,18,321
1518,Ramcharan Foundation,Assam,Kamrup,781029,112,18,321
1519,Guwahati Medical College Hospital,Assam,Kamrup,781032,112,18,321
1520,Hayat Hospital,Assam,Kamrup,781034,112,18,321
1521,Pratiksha Hospitals,Assam,Kamrup,781036,112,18,321
1522,Hm Hospital and Research Centre Pvt.Ltd,Assam,Kamrup,781038,112,18,321
1523,Hajo Fru,Assam,Kamrup,781102,112,18,321
1524,Sualkuchi Fru,Assam,Kamrup,781103,112,18,321
1525,Dr. Dhani Ram Baruah Heart Institute and Research Ce,Assam,Kamrup,781104,112,18,321
1526,Bezara Fru,Assam,Kamrup,781121,112,18,321
1527,Boko Fru,Assam,Kamrup,781123,112,18,321
1528,Rangia Poly Clinic and Nursing Home,Assam,Kamrup,781354,112,18,321
1529,Tularam Bafna Civil Hospital,Assam,Kamrup,782403,112,18,321
1530,Catholic Health Center (Hospital) Diphu,Assam,Karbi Anglong,782460,112,18,314
1531,Dotma CHC,Assam,Kokrajhar,783347,112,18,300
1532,Balajan Block PHC,Assam,Kokrajhar,783370,112,18,300
1533,Megacare Multispeciality Hospital Pvt Ltd,Assam,Kokrajhar,783370,112,18,300
1534,Bihpuria CHC,Assam,Lakhimpur,784161,112,18,307
1535,Dalpur CHC,Assam,Lakhimpur,787001,112,18,307
1536,Happy Nursing Home,Assam,Lakhimpur,787001,112,18,307
1537,Mid Town Hospital and Research Institute,Assam,Lakhimpur,787001,112,18,307
1538,Saumerpith Nursing Pvt Ltd,Assam,Lakhimpur,787001,112,18,307
1539,Nowboicha CHC,Assam,Lakhimpur,787023,112,18,307
1540,Bongalmora CHC,Assam,Lakhimpur,787054,112,18,307
1541,Dhakuakhona CHC,Assam,Lakhimpur,787055,112,18,307
1542,Haibargaon Nursing Home,Assam,Marigaon,782001,112,18,304
1543,Haji Abdul Majid Memorial Hospital and Research Centre,Assam,Marigaon,782001,112,18,304
1544,Kapili Hospital And Research Centre,Assam,Marigaon,782001,112,18,304
1545,G.D.Hospital,Assam,Nagaon,782002,112,18,305
1546,Nagaon Nursing Home and Maternity Home,Assam,Nagaon,782002,112,18,305
1547,Pkb Nursing Home Pvt Ltd,Assam,Nagaon,782002,112,18,305
1548,Pragati Nursing Home/Diacare,Assam,Nalbari,781335,112,18,323
1549,United Hospital And Research Centre,Assam,Nalbari,781335,112,18,323
1550,Choudhary Maternity Clinic,Assam,Dima Hasao,788820,112,18,651
1551,Dhl Health Services,Assam,Sivasagar,785640,112,18,311
1552,East Point Hospital And Res Centre,Assam,Sivasagar,785640,112,18,311
1553,Life Care Hospital and Research Centre,Assam,Sivasagar,785640,112,18,311
1554,Pragati Hospital And Research Centre,Assam,Sivasagar,785640,112,18,311
1555,Sampreeti Hospital,Assam,Sivasagar,785640,112,18,311
1556,Sarma Nusring Home,Assam,Sivasagar,785640,112,18,311
1557,H M Hospital and Research Center,Assam,Sivasagar,785670,112,18,311
1558,Moran Medical Centre,Assam,Sivasagar,785670,112,18,311
1559,Tezpur Medical College and Hospital,Assam,Sonitpur,784001,112,18,0
1560,B. K Memorial Hospital - Tezpur,Assam,Sonitpur,784001,112,18,306
1561,Baptist Christian Hospital,Assam,Sonitpur,784001,112,18,306
1562,E M M Hospital And Research Centre,Assam,Sonitpur,784001,112,18,306
1563,Gogoi Nursing Home Complex,Assam,Sonitpur,784001,112,18,306
1564,Skylark Hospital and Rese,Assam,Sonitpur,784001,112,18,306
1565,K P Memorial Hospital,Assam,Sonitpur,784176,112,18,306
1566,Biroja Hospital,Assam,Tinsukia,786125,112,18,309
1567,Borthakur Nursing Home and Research Centre,Assam,Tinsukia,786125,112,18,309
1568,City Hospital And Research Centre,Assam,Tinsukia,786125,112,18,309
1569,Dr Bawaris Nursing Home,Assam,Tinsukia,786125,112,18,309
1570,Jeevan Jyoti Nursing Home,Assam,Tinsukia,786125,112,18,309
1571,Life Line Hospital - Tinsukia,Assam,Tinsukia,786125,112,18,309
1572,Pinewood Hospital,Assam,Tinsukia,786125,112,18,309
1573,St Lukes Hospital,Assam,Tinsukia,786125,112,18,309
1574,"Tinsukia Ortrhopaedic Clinic, Hospital And Researc",Assam,Tinsukia,786125,112,18,309
1575,M R Agarwal Memorial Diagnostics and Hospital,Assam,Tinsukia,786171,112,18,309
1576,Cherish Hospital and Diagnostic Center,Assam,Tinsukia,786181,112,18,309
1577,Margherita Community Health Centre,Assam,Tinsukia,786181,112,18,309
1578,Munaf Memorial Hospital and Research Center,Assam,Tinsukia,786181,112,18,309
1579,Rontix Hospital,Assam,Tinsukia,786181,112,18,309
1580,Abhinav Hospital,Bihar,Araria,854311,112,10,209
1581,Jeevan Jyoti Orthopedic Emergency And Trauma Center,Bihar,Araria,854311,112,10,209
1582,Lovely Nursing Home,Bihar,Araria,854311,112,10,209
1583,Mohini Devi Rungta Hospital,Bihar,Araria,854311,112,10,209
1584,Sadar Hopital Araria,Bihar,Araria,854311,112,10,209
1585,The Rural Institute Of Medical Aids,Bihar,Araria,854311,112,10,209
1586,Baba Gramin Seva Sadan,Bihar,Araria,854318,112,10,209
1587,Dr. Alakh Niranjan Memorial Hospital,Bihar,Araria,854318,112,10,209
1588,Dr. Chaudhary Hospital and Research Institute,Bihar,Araria,854318,112,10,209
1589,Mata Mariam Nursing Home,Bihar,Araria,854318,112,10,209
1590,Kumar Ortho and Maternity Home,Bihar,Araria,854329,112,10,209
1591,Shishu Kalyn Kendra,Bihar,Bhojpur,854329,112,10,209
1592,Arwal Surgical And Orthocare Centre,Bihar,Arwal,804401,112,10,240
1593,Khursheed Ahmad Memorial Hospital,Bihar,Arwal,804401,112,10,240
1594,Pipra Hospital Pvt.Ltd,Bihar,Arwal,804401,112,10,240
1595,Royson Meaternitey and Nursing Home,Bihar,Arwal,804401,112,10,240
1596,Aastha Nursing Home,Bihar,Aurangabad,824101,112,10,235
1597,Haddi and Dental Hospital,Bihar,Aurangabad,824101,112,10,235
1598,Health World,Bihar,Aurangabad,824101,112,10,235
1599,Pulse Women Hospital,Bihar,Aurangabad,824101,112,10,235
1600,S D Hospital,Bihar,Aurangabad,824101,112,10,235
1601,Samarth Eye Hospital and Laser Surgery Centre,Bihar,Aurangabad,824101,112,10,235
1602,Shanker Nursing Home,Bihar,Aurangabad,824101,112,10,235
1603,Swastik Hospital,Bihar,Aurangabad,824101,112,10,235
1604,Magadh Clinic,Bihar,Aurangabad,824102,112,10,235
1605,Dord Hospital,Bihar,Aurangabad,824113,112,10,235
1606,Rahat Clinic,Bihar,Aurangabad,824123,112,10,235
1607,Badri Ortho Clinic,Bihar,Banka,811308,112,10,225
1608,Dr Ajay Kumar,Bihar,Banka,811308,112,10,225
1609,Dr Sailja Jha,Bihar,Banka,813102,112,10,225
1610,Dr Sumitra Choudhary,Bihar,Banka,813102,112,10,225
1611,Dr. Akhilesh Kumar,Bihar,Banka,813102,112,10,225
1612,Dr. Gayatri Choudhary,Bihar,Banka,813102,112,10,225
1613,Dr. Hemant Kumar Das,Bihar,Banka,813102,112,10,225
1614,Surgery Centre,Bihar,Banka,813102,112,10,225
1615,Garib Nawaz Clinic,Bihar,Banka,813205,112,10,225
1616,S Ansari Nursing Home,Bihar,Banka,813224,112,10,225
1617,Baba Baidynath Eye Hospital,Bihar,Munger,813321,112,10,225
1618,Advanced Ent and Head Neck Hospital,Bihar,Begusarai,851101,112,10,222
1619,Ananya Nursing Home,Bihar,Begusarai,851101,112,10,222
1620,Aradhana Clinic,Bihar,Begusarai,851101,112,10,222
1621,Arora Nurnig Home,Bihar,Begusarai,851101,112,10,222
1622,B. P. Rai Memorial Hospital,Bihar,Begusarai,851101,112,10,222
1623,Balia Referal,Bihar,Begusarai,851101,112,10,222
1624,Bhushan Maternity Clinic,Bihar,Begusarai,851101,112,10,222
1625,Bone and Joint Hospital and Trauma Centre,Bihar,Begusarai,851101,112,10,222
1626,Diabetes and Heart Research Centre,Bihar,Begusarai,851101,112,10,222
1627,G. Lall Memorial Hospital,Bihar,Begusarai,851101,112,10,222
1628,Hope Hospital,Bihar,Begusarai,851101,112,10,222
1629,Jivan Suraksha,Bihar,Begusarai,851101,112,10,222
1630,Jyoti Hospital,Bihar,Begusarai,851101,112,10,222
1631,Mahavir Shalya Sansthan,Bihar,Begusarai,851101,112,10,222
1632,Mahila Aspatal,Bihar,Begusarai,851101,112,10,222
1633,Medicare and Heart Centre,Bihar,Begusarai,851101,112,10,222
1634,Mira Nursing Home,Bihar,Begusarai,851101,112,10,222
1635,Ortho Centre,Bihar,Begusarai,851101,112,10,222
1636,Perwez Alam Poly Clinic,Bihar,Begusarai,851101,112,10,222
1637,Ritul Health Care Centre,Bihar,Begusarai,851101,112,10,222
1638,S.S.M.Maternity Hospital,Bihar,Begusarai,851101,112,10,222
1639,Shishu Chikitsalaya,Bihar,Begusarai,851101,112,10,222
1640,Shivani Health Care Centre,Bihar,Begusarai,851101,112,10,222
1641,Shree Agrasen Matri Seva Sadan,Bihar,Begusarai,851101,112,10,222
1642,Shreshtha Surgical and Maternity Hospital,Bihar,Begusarai,851101,112,10,222
1643,Surya Clinic,Bihar,Begusarai,851101,112,10,222
1644,Tara Ent Clinic,Bihar,Begusarai,851101,112,10,222
1645,Uma Nursing Home,Bihar,Begusarai,851101,112,10,222
1646,Upchar Hospital,Bihar,Begusarai,851101,112,10,222
1647,Veena Nursing Home,Bihar,Begusarai,851101,112,10,222
1648,Veerayatan Netralaya,Bihar,Begusarai,851101,112,10,222
1649,Vishnupur Nursing Home,Bihar,Begusarai,851101,112,10,222
1650,Yogada Poly Clinic,Bihar,Begusarai,851101,112,10,222
1651,Yugeshwar Kidney Hospital,Bihar,Begusarai,851101,112,10,222
1652,Tara Nursing Home.,Bihar,Begusarai,851117,112,10,222
1653,Shabnam Hospital,Bihar,Begusarai,851122,112,10,222
1654,"Manjhoul,Referal",Bihar,Begusarai,851127,112,10,222
1655,Appolo Nursing Homeand Research Center,Bihar,Nawada,851129,112,10,222
1656,Bharat Nursing Home,Bihar,Nawada,851129,112,10,222
1657,Budha Hospital,Bihar,Nawada,851129,112,10,222
1658,Kuju Nursing Home,Bihar,Begusarai,851129,112,10,222
1659,Maa Ambe Nursing Home,Bihar,Gaya,851129,112,10,222
1660,Matihani Referal,Bihar,Begusarai,851129,112,10,222
1661,Nav Jeevan Hospital,Bihar,Nawada,851129,112,10,222
1662,Polo Hospital,Bihar,Nalanda,851129,112,10,222
1663,Raj Nursing Home,Bihar,Begusarai,851129,112,10,222
1664,Ram Krishna Hospitaland Medical Research Center,Bihar,Begusarai,851129,112,10,222
1665,Rishi Sewa Sadan,Bihar,Begusarai,851129,112,10,222
1666,Shyam Hospital,Bihar,Saran,851129,112,10,222
1667,Susheela Hospital,Bihar,Saran,851129,112,10,222
1668,Uday Nursing Home,Bihar,Begusarai,851129,112,10,222
1669,Chand Suraj Hospital,Bihar,Begusarai,851210,112,10,222
1670,Bishnupur Multi Speciality Hospital,Bihar,Begusarai,851211,112,10,222
1671,Aashray Nursing Home,Bihar,Bhagalpur,812001,112,10,224
1672,Angika Nursing Home,Bihar,Bhagalpur,812001,112,10,224
1673,Annapurna Maternity Home,Bihar,Bhagalpur,812001,112,10,224
1674,Anupam Nursing Home,Bihar,Bhagalpur,812001,112,10,224
1675,Asraya Hospital,Bihar,Bhagalpur,812001,112,10,224
1676,Dr Archana Jha Clinic and Nursing Home,Bihar,Bhagalpur,812001,112,10,224
1677,Dr Suresh Pathology,Bihar,Bhagalpur,812001,112,10,224
1678,Dr. Chandra Shekhar Shah,Bihar,Bhagalpur,812001,112,10,224
1679,G.S. Hospital and Endolaparoscopy Centre,Bihar,Bhagalpur,812001,112,10,224
1680,Gayatri Clinic and Maternity Centre,Bihar,Bhagalpur,812001,112,10,224
1681,Healing Touch Centre,Bihar,Bhagalpur,812001,112,10,224
1682,K K Nursing Home And Research Centre,Bihar,Bhagalpur,812001,112,10,224
1683,Kaushalaya Eye Research Institute,Bihar,Bhagalpur,812001,112,10,224
1684,Khageswari Nursing Home,Bihar,Bhagalpur,812001,112,10,224
1685,Life Line Hospital,Bihar,Bhagalpur,812001,112,10,224
1686,Loksewa Hospital,Bihar,Bhagalpur,812001,112,10,224
1687,Orthopaedic Disease And Truma Care,Bihar,Bhagalpur,812001,112,10,224
1688,"Pushpdeep Trauma,Replacement And Spine Clinic",Bihar,Bhagalpur,812001,112,10,224
1689,R K Heart and Helth Centre,Bihar,Bhagalpur,812001,112,10,224
1690,Rakshit Nursing Home,Bihar,Bhagalpur,812001,112,10,224
1691,Sahil Clinic,Bihar,Bhagalpur,812001,112,10,224
1692,Saint Sharda Nursing Home,Bihar,Bhagalpur,812001,112,10,224
1693,Sanjivani Nursing Home,Bihar,Bhagalpur,812001,112,10,224
1694,Satyam Matri Shishu Kendra,Bihar,Bhagalpur,812001,112,10,224
1695,Sharda Hospital,Bihar,Bhagalpur,812001,112,10,224
1696,Shrishti Nursing Home,Bihar,Bhagalpur,812001,112,10,224
1697,Sneh Nursing Home,Bihar,Bhagalpur,812001,112,10,224
1698,Srijan Maternity and Fertility Clinic,Bihar,Bhagalpur,812001,112,10,224
1699,Sushila Clinic,Bihar,Bhagalpur,812001,112,10,224
1700,Tapashwi Hospital,Bihar,Bhagalpur,812001,112,10,224
1701,Aastha Nursing Home and Maternity Centre,Bihar,Bhagalpur,812002,112,10,224
1702,Aditya Nursing Home,Bihar,Bhagalpur,812002,112,10,224
1703,Advance Maternity and Infertility Centre,Bihar,Bhagalpur,812002,112,10,224
1704,Aziz Nursing Home,Bihar,Bhagalpur,812002,112,10,224
1705,Jyoti Nursing Home,Bihar,Bhagalpur,812002,112,10,224
1706,Khamriya Hospital,Bihar,Bhagalpur,812002,112,10,224
1707,Lal Clinic,Bihar,Bhagalpur,812005,112,10,224
1708,Shagun Nursing Home,Bihar,Bhagalpur,813203,112,10,224
1709,"Anumandaliya Hospital, Jagdishpur, Bhojpur",Bihar,Bhojpur,802158,112,10,231
1710,Ganinath Hospital,Bihar,Nawada,802301,112,10,231
1711,Heera Surya Nursing Home,Bihar,Bhojpur,802301,112,10,231
1712,Kanchan Shalya Niketan,Bihar,Nawada,802301,112,10,231
1713,Khwaja Garib Nawaz Welfare Society,Bihar,Bhojpur,802301,112,10,231
1714,Lilawati Nursing Home,Bihar,Bhojpur,802301,112,10,231
1715,Maa Jagdamba Nursing Home,Bihar,Bhojpur,802301,112,10,231
1716,Manav Kalyan Ewam Shodh Sansthan,Bihar,Bhojpur,802301,112,10,231
1717,Ortho Centre,Bihar,Bhojpur,802301,112,10,231
1718,Orthopaedics Clinic,Bihar,Bhojpur,802301,112,10,231
1719,Gloval Vishwamitra Hospital,Bihar,Buxar,802101,112,10,232
1720,Ma Shivratri Dental Health Hospital,Bihar,Buxar,802101,112,10,232
1721,Neha Nursing Home,Bihar,Buxar,802101,112,10,232
1722,Orthopadic Centre,Bihar,Buxar,802101,112,10,232
1723,R.R Memorial Hospital,Bihar,Buxar,802101,112,10,232
1724,Vishwamitra Hospital,Bihar,Buxar,802101,112,10,232
1725,Sadguru Nursing Home,Bihar,Buxar,802129,112,10,232
1726,Garib Nawaz Hospital,Bihar,Buxar,802133,112,10,232
1727,Marry Ward Health Centre,Bihar,Buxar,802133,112,10,232
1728,"Rogi Kalyan Samiti,Sub.Divisional Hospital,Dumraon",Bihar,Buxar,802133,112,10,232
1729,Siddhashram Sewa Sadan,Bihar,Buxar,802134,112,10,232
1730,Darbhanga Medical College and Hospital,Bihar,Darbhanga,846003,112,10,0
1731,Aastha Hospital,Bihar,Darbhanga,846001,112,10,215
1732,Sheela Health Clinic,Bihar,Darbhanga,846001,112,10,215
1733,Shekhar Netralaya and Ear Nose Throat Hospital,Bihar,Darbhanga,846001,112,10,215
1734,Ugratara Hospital,Bihar,Darbhanga,846001,112,10,215
1735,Yashraj Surgical Sansthan,Bihar,Darbhanga,846001,112,10,215
1736,R B Memorial Hospital,Bihar,Darbhanga,846002,112,10,215
1737,Amrit Nursing Home,Bihar,Darbhanga,846003,112,10,215
1738,"Anant Arogya Neketan ,",Bihar,Darbhanga,846003,112,10,215
1739,Arora Nursing Home,Bihar,Darbhanga,846003,112,10,215
1740,Dwivedi Clinic,Bihar,Darbhanga,846003,112,10,215
1741,Godawari Jiwachh Memorial Hospital,Bihar,Darbhanga,846003,112,10,215
1742,M/S Sanjay Surgical and Urological Kendra,Bihar,Darbhanga,846003,112,10,215
1743,M/S Sinha Clinic,Bihar,Darbhanga,846003,112,10,215
1744,Maa Bhagwati Nursing Home,Bihar,Darbhanga,846003,112,10,215
1745,Mahaseth Clinic,Bihar,Darbhanga,846003,112,10,215
1746,Matriva Nursing Home,Bihar,Darbhanga,846003,112,10,215
1747,Navjeevan Hospital,Bihar,Darbhanga,846003,112,10,215
1748,Nn Memorial Hospital,Bihar,Darbhanga,846003,112,10,215
1749,Prem Medical Research and Rehabilation Center (P) Ltd.,Bihar,Darbhanga,846003,112,10,215
1750,Prof. R.P.Gami Memorial Hospital,Bihar,Darbhanga,846003,112,10,215
1751,R.K. Ortho Ashram,Bihar,Darbhanga,846003,112,10,215
1752,R.R. Eye Hospital,Bihar,Darbhanga,846003,112,10,215
1753,Satya Sai Nursing Home,Bihar,Darbhanga,846003,112,10,215
1754,"SubDivisional Hospital, Benipur",Bihar,Darbhanga,846003,112,10,215
1755,Agrachal Nursing Home,Bihar,Darbhanga,846004,112,10,215
1756,Chandra Shekhar Charitable Hospital,Bihar,Darbhanga,846004,112,10,215
1757,Godawari Jiwachh Hospital and Para Medical College,Bihar,Darbhanga,846004,112,10,215
1758,I B Smriti Arogya Sadan,Bihar,Darbhanga,846004,112,10,215
1759,Jyoti Research Hospital,Bihar,Darbhanga,846004,112,10,215
1760,M.S.Hospital,Bihar,Darbhanga,846004,112,10,215
1761,Mahamaya Nursing Home,Bihar,Darbhanga,846004,112,10,215
1762,R. S Memorial Hospital,Bihar,Darbhanga,846004,112,10,215
1763,Raj Gopal Health Care Centre,Bihar,Darbhanga,846004,112,10,215
